Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,-0.20794770376581775,-0.20707075668205202,Pave,NA,Reg,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1.0506337978673665,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5098396881007419,Gd,TA,PConc,Gd,TA,No,GLQ,0.5752277399119952,Unf,-0.28855396047015597,-0.9442670603932538,-0.45914521849712175,GasA,Ex,Y,SBrkr,-0.7931620228890667,1.161453624933343,-0.12020053800860224,0.37020659097218966,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,RFn,2,0.3508800946869882,TA,TA,Y,-0.7519181992725847,0.21642900322035066,-0.35920182285425656,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,NA,-0.08765777630136361,-1.5985633645864088,0.13872995427158782,WD,Normal,208500
2,20,RL,0.4097238351197885,-0.09185489899357324,Pave,NA,Reg,Lvl,1,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,0.15668002567432227,Gable,CompShg,MetalSd,MetalSd,None,-0.5726372892119187,TA,TA,CBlock,Gd,TA,Gd,ALQ,1.1715906834588579,Unf,-0.28855396047015597,-0.6410083568513318,0.46630514046588595,GasA,Ex,Y,SBrkr,0.2570523529141906,-0.7948908644380686,-0.12020053800860224,-0.4823466424740098,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,-0.06071021076074023,TA,TA,Y,1.625637780432759,-0.7042419476205181,-0.35920182285425656,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,NA,-0.08765777630136361,-0.4889425188037668,-0.6142281618491043,WD,Normal,181500
3,60,RL,-0.0844133959886965,0.07345480986380937,Pave,NA,IR1,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,0.984414999927141,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.32206306958732117,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.09287535910203276,Unf,-0.28855396047015597,-0.301539658856643,-0.3132614180694555,GasA,Ex,Y,SBrkr,-0.6276109882796862,1.188943243050974,-0.12020053800860224,0.5148361573603842,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,0.6315098484013485,TA,TA,Y,-0.7519181992725847,-0.07033735851696911,-0.35920182285425656,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,NA,-0.08765777630136361,0.9905519422397558,0.13872995427158782,WD,Normal,223500
4,70,RL,-0.4138382167276865,-0.09686428411046362,Pave,NA,IR1,Lvl,1,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,-1.8629933115025554,Gable,CompShg,Wd Sdng,Wd Sdng,None,-0.5726372892119187,TA,TA,BrkTil,TA,Gd,No,ALQ,-0.4991025628011029,Unf,-0.28855396047015597,-0.06164844560706293,-0.6870886566653502,GasA,Gd,Y,SBrkr,-0.5215548567330519,0.9369550769726892,-0.12020053800860224,0.38352773524478656,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,0.7905333755061527,TA,TA,Y,-0.7519181992725847,-0.1759881233675606,4.091121950018247,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,NA,-0.08765777630136361,-1.5985633645864088,-1.3671862779697965,WD,Abnorml,140000
5,60,RL,0.5744362454892835,0.37501979390061035,Pave,NA,IR1,Lvl,1,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,0.9513056009570283,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.360357313132118,Gd,TA,PConc,Gd,TA,Av,GLQ,0.4634096879969584,Unf,-0.28855396047015597,-0.1748046782719592,0.1996113178090586,GasA,Ex,Y,SBrkr,-0.045595632231083046,1.6173231253840583,-0.12020053800860224,1.2988806488332285,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,1.6979029125159177,TA,TA,Y,0.779929948725489,0.5635672305865799,-0.35920182285425656,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,NA,-0.08765777630136361,2.100172788022398,0.13872995427158782,WD,Normal,250000
6,50,RL,0.6156143480816573,0.36049257706162824,Pave,NA,IR1,Lvl,1,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,0.7195398081662391,Gable,CompShg,VinylSd,VinylSd,None,-0.5726372892119187,TA,TA,Wood,Gd,TA,No,GLQ,0.6322330212804452,Unf,-0.28855396047015597,-1.1388957805768753,-0.5959112813980588,GasA,Ex,Y,SBrkr,-0.9483661178353608,0.5017027901101971,-0.12020053800860224,-0.2920445814369117,1,0,1,1,1,1,TA,5,Typ,0,NA,Attchd,Unf,2,0.03283304047737987,TA,TA,Y,-0.4327831684396527,-0.2514529554036974,-0.35920182285425656,10.798746166392297,-0.2701158012431336,-0.06866821893757227,NA,MnPrv,Shed,1.3232825862524775,1.3604255575006365,0.8916880703922799,WD,Normal,143000
7,20,RL,0.20383332215791974,-0.043364051062074346,Pave,NA,Reg,Lvl,1,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,1.0837431968374793,Gable,CompShg,VinylSd,VinylSd,Stone,0.45461127089091224,Gd,TA,PConc,Ex,TA,Av,GLQ,2.028862414807473,Unf,-0.28855396047015597,-0.5663252432925003,1.4327853182991748,GasA,Ex,Y,SBrkr,1.3745218365275087,-0.7948908644380686,-0.12020053800860224,0.339758261206254,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,0.7624704001347167,TA,TA,Y,1.282567622287357,0.15605713759144124,-0.35920182285425656,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,NA,-0.08765777630136361,0.6206783269788753,-0.6142281618491043,WD,Normal,307000
8,60,RL,0.4097238351197885,-0.013508115765407669,Pave,NA,IR1,Lvl,1,CulDSac,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,0.05735182876398403,Gable,CompShg,HdBoard,HdBoard,Stone,0.7528447238239923,TA,TA,CBlock,Gd,TA,Mn,ALQ,0.9106818956571053,BLQ,-0.0901895651732888,-0.7949008332755908,0.11299281130513177,GasA,Ex,Y,SBrkr,-0.14389155903040268,1.456967019697877,-0.12020053800860224,1.0933544229131624,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,0.05154169072500389,TA,TA,Y,1.123000106870891,2.3747231994538627,3.3712166338182836,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,Shed,0.6178124049755571,1.7302991727615173,0.8916880703922799,WD,Normal,200000
9,50,RM,-0.7844411400590502,-0.44050810312914385,Pave,NA,Reg,Lvl,1,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,-1.3332429279807514,Gable,CompShg,BrkFace,Wd Sdng,None,-0.5726372892119187,TA,TA,BrkTil,TA,TA,No,Unf,-0.9726849003236114,Unf,-0.28855396047015597,0.8707589115516824,-0.24031951785562242,GasA,Gd,Y,FuseF,-0.36376402687098613,0.9277918709334788,-0.12020053800860224,0.49199991003593246,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,2,-0.02329291026549219,Fa,TA,Y,-0.033864379898487625,-0.7042419476205181,2.9949024912592117,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,NA,-0.08765777630136361,-0.8588161340646475,0.13872995427158782,WD,Abnorml,129900
10,190,RL,-0.825619242651424,-0.3102640900899939,Pave,NA,Reg,Lvl,1,Inside,Gtl,BrkSide,Artery,Artery,1Fam,1.5Unf,5,6,-1.0683677362198494,Gable,CompShg,MetalSd,MetalSd,None,-0.5726372892119187,TA,TA,BrkTil,TA,TA,No,GLQ,0.8931418090821976,Unf,-0.28855396047015597,-0.9668983069262331,-0.1514215769700133,GasA,Ex,Y,SBrkr,-0.2214936065035498,-0.7948908644380686,-0.12020053800860224,-0.8344054553926413,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,-1.2533866640467715,Gd,TA,Y,-0.7519181992725847,-0.6438700819916087,-0.35920182285425656,-0.11629943710230334,-0.2701158012431336,-0.06866821893757227,NA,NA,NA,-0.08765777630136361,-1.9684369798472896,0.13872995427158782,WD,Normal,118000
